"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1935","코스닥","064550","바이오니아","제약",11700,50,266025134700
"1936","코스닥","078140","대봉엘에스","제약",6610,220,73282287190
"1937","코스닥","078160","메디포스트","제약",26650,350,416215489300
"1938","코스닥","041910","에스텍파마","제약",9750,370,116008064250
"1939","코스닥","072020","중앙백신","제약",15900,200,1.58364e+11
"1940","코스닥","067080","대화제약","제약",10700,200,195007221800
"1941","코스닥","049960","쎌바이오텍","제약",14150,300,1.3301e+11
"1942","코스닥","061250","화일약품","제약",9180,-160,158751107820
"1943","코스닥","054670","대한뉴팜","제약",9950,350,142831454000
"1944","코스닥","052670","제일바이오","제약",8160,110,1.224e+11
"1945","코스닥","053030","바이넥스","제약",12300,150,390414890400
"1946","코스닥","041960","코미팜","제약",20200,500,1296554695200
"1947","코스닥","034940","조아제약","제약",3880,110,111873941200
"1948","코스닥","023910","대한약품","제약",29800,100,1.788e+11
"1949","코스닥","018680","서울제약","제약",8670,160,73569276330
"1950","코스닥","014570","고려제약","제약",8560,150,9.416e+10
"1951","코스닥","012790","신일제약","제약",7690,360,83836380000
"1952","코스닥","011040","경동제약","제약",8070,10,214258500000
"1953","코스닥","009300","삼아제약","제약",14000,150,8.918e+10
"1954","코스닥","007370","진양제약","제약",6090,130,7.308e+10
"1955","코스닥","001540","안국약품","제약",9710,140,126641898200
"1956","코스닥","000250","삼천당제약","제약",31150,600,688596074950
"1957","코스닥","225530","보광산업","비금속",4820,15,174054215060
"1958","코스닥","089140","넥스턴","비금속",8240,30,97615324800
"1959","코스닥","255220","SG","비금속",1980,30,72705653460
"1960","코스닥","198440","고려시멘트","비금속",3415,65,109211563400
"1961","코스닥","028040","미래SCI","비금속",279,0,12549281058
"1962","코스닥","238090","앤디포스","비금속",3940,5,200543115920
"1963","코스닥","222420","쎄노텍","비금속",1405,20,56422235875
"1964","코스닥","228340","동양파일","비금속",2910,-95,5.82e+10
"1965","코스닥","038500","삼표시멘트","비금속",3400,60,365014388200
"1966","코스닥","079650","서산","비금속",2395,35,4.79e+10
"1967","코스닥","075970","동국알앤에스","비금속",1990,30,3.6616e+10
"1968","코스닥","074600","원익QnC","비금속",12250,150,3.22028e+11
"1969","코스닥","023410","유진기업","비금속",4025,40,311176223575
"1970","코스닥","006920","모헨즈","비금속",4040,35,44116800000
"1971","코스닥","006050","국영지앤엠","비금속",2340,20,81654868620
"1972","코스닥","186230","그린플러스","금속",9000,30,43414839000
"1973","코스닥","256630","포인트엔지니어링","금속",2635,70,148842090870
"1974","코스닥","263770","유에스티","금속",3050,80,72285524600
"1975","코스닥","258610","이더블유케이","금속",5770,-230,67709790230
"1976","코스닥","049830","승일","금속",8040,70,49302180480
"1977","코스닥","109610","에스와이","금속",4205,45,105251246715
"1978","코스닥","060480","국일신동","금속",3180,50,35266200000
"1979","코스닥","140520","대창스틸","금속",2005,15,4.01e+10
"1980","코스닥","090410","덕신하우징","금속",1270,0,55657824930
"1981","코스닥","192390","윈하이텍","금속",2320,30,24723998720
"1982","코스닥","096350","대창솔루션","금속",329,12,53228458283
"1983","코스닥","018310","삼목에스폼","금속",7340,-10,1.07898e+11
"1984","코스닥","006910","보성파워텍","금속",1750,40,80627853250
"1985","코스닥","147830","제룡산업","금속",4880,0,4.88e+10
"1986","코스닥","138070","신진에스엠","금속",4420,180,39657048860
"1987","코스닥","008470","부스타","금속",4200,-20,35300160000
"1988","코스닥","128660","피제이메탈","금속",1960,25,48614603240
"1989","코스닥","069140","누리플랜","금속",4325,65,24377317550
"1990","코스닥","119500","포메탈","금속",2570,35,30447386240
"1991","코스닥","114190","강원","금속",2500,0,45387277500
"1992","코스닥","100130","동국S&C","금속",2170,55,124000310000
"1993","코스닥","109860","동일금속","금속",10500,-100,7.35e+10
"1994","코스닥","024840","KBI메탈","금속",1220,10,40200034560
"1995","코스닥","081150","티플랙스","금속",2050,10,49750224100
"1996","코스닥","100090","삼강엠앤티","금속",2895,0,80664600900
"1997","코스닥","101670","코리아에스이","금속",1045,0,19750500000
